237,4 Reverends Imperial Stout,3010,Piece Pizzeria & Brewery
238,4-Play Porter,3444,Shades of Pale Brewing Company
239,4-Squared,3185,Real Ale Brewing Company
240,400 Divine Rabbits,1808,Greenbush Brewing Co
241,400 Pound Monkey,2358,Left Hand Brewing Company
242,405 Oklahoma Lager,330,Battered Boar Brewing Company
243,40K Honey Wheat Ale,535,Blue Corn Café & Brewery
244,40th Annual Bix Street Fest Copper Ale,1799,Great River Brewery
245,413,434,Big Elm Brewing Company
246,42 Cream Ale,2532,Marshall Wharf Brewing Company
247,420 IPA,3246,Rio Grande Brewing Company
248,422 Pale Wheat Ale,3564,Southern Tier Brewing Company
249,467 Ethan's Stout,532,Blue Blood Brewing Company
250,47 Bryg,1036,Carlsberg Bryggerierne
251,471 Double IPA Small Batch,818,Breckenridge Brewery
252,471 ESB - Extra Special Bitter,818,Breckenridge Brewery
253,471 IPA. Aggressive Hoppiness,818,Breckenridge Brewery
254,471 Pilsner,818,Breckenridge Brewery
255,47° North,2355,Leech Lake Brewing
256,4868 Dark Wheat,2651,Moonlight Brewing
257,4Shadow,1648,Freetail Brewing Company
258,4th Anniversary IPA,3639,Stone Brewing Company
259,4th Noel,89,Acorn Brewery of Barnsley
260,5 A.M. Saint,827,BrewDog Ltd
261,5 Barrel Pale Ale,2835,Odell Brewing Company
262,5 C's IPA,3070,Portsmouth Brewery
263,5 Czars Imperial Stout,2558,McKenzie Brew House
264,5 Golden Rings,3755,The Bruery
265,5 Lizard,36,5 Rabbit Cerveceria Inc
266,5 Malt Ale,1326,Devil Mountain Brewing
267,5 O'clock Shadow,1771,Grand Teton Brewing Company
268,5 Rabbit,36,5 Rabbit Cerveceria Inc
269,5 Vulture,36,5 Rabbit Cerveceria Inc
270,5 Whistle Wheat Ale,814,Breaker Brewing Company
271,5 Years Later,1031,Captain Lawrence Brewing Company
272,"5,000 Year Ale",3146,Pyramid Breweries
273,5-11 Imperial Red,1259,Cycler's Brewing Company
274,50 Back,38,50 Back Brewing Company
275,50 CAT IPA,4020,Vintage 50 Restaurant and Brew Lounge
276,500 Monks Strong Belgian Ale,3895,Triton Brewing Company
277,501 - Red Ale,3689,Sweet Mullets Brewing
278,505 - Export Stout,3689,Sweet Mullets Brewing
279,508 Amber Trippel,39,508 Gastrobrewery
280,508 American Strong Ale,39,508 Gastrobrewery
281,508 Belgian Dark Strong Ale,39,508 Gastrobrewery
282,508 Belgian Wit,39,508 Gastrobrewery
283,508 Cascade Common,39,508 Gastrobrewery
284,508 Double I.P.A.,39,508 Gastrobrewery
285,508 I.P.A.,39,508 Gastrobrewery
286,508 Montezuma Imperial Stout,39,508 Gastrobrewery
287,508 Munich Helles,39,508 Gastrobrewery
288,508 Nut Brown Ale,39,508 Gastrobrewery
289,508 Smoked Rye I.P.A.,39,508 Gastrobrewery
290,508 Weizenbock,39,508 Gastrobrewery
291,509 Style,2111,Iron Horse Brewery
292,51/50 IPA,2113,Ironfire Brewing Company
293,525,4222,ZwanzigZ Pizza & Brewing
294,5280 Roadhouse Ghost Town Brown,2601,Mill Steakhouse
295,529,3587,Squatters Pub Brewery
296,541,2028,Hop Valley Brewing Co.
297,543 SkullCreek Fresh Hopped Pale Ale,532,Blue Blood Brewing Company
298,555 IPA,3775,The Livery
299,562 Lateral,2398,Listermann Brewing Company
300,563 Stout,10,21st Amendment Brewery
301,5:00,3219,Renegade Brewing Company
302,5:02 Amber Ale,4116,Wichita Brewing Company
303,5th Anniversary Ale,2550,Mayflower Brewing Company
304,5th Anniversary Cinco de Drinco,2111,Iron Horse Brewery
305,5th Anniversary IPA,3639,Stone Brewing Company
306,5th Dimension Tripel,999,C.B. & Potts
307,5th Noel,89,Acorn Brewery of Barnsley
308,6 Shooter IPA,1135,City Star Brewing Company
309,60 Minute IPA,1355,Dogfish Head Craft Brewery
310,60 Shilling,2776,Nodding Head Brewery
311,60 Shilling Scotch Ale,307,Barley Island Brewing Company
312,6288 Stout,3906,Tuckerman Brewing Company
